id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
BUENOS AIRES_COLON,"Colon, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,34.29,1.58,2.75,39.81,4.18,17.39,5341,246,428,6200,651,2708,82.87,19384,16063,2.63,0.02,0.39,422,4,63,BUENOS AIRES
BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",ALIANZA CAMBIEMOS,48.96,0.93,1.85,30.62,2.66,14.97,5228,99,198,3270,284,1599,82.37,13617,11216,4.32,0.03,0.45,484,3,51,BUENOS AIRES
BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",ALIANZA CAMBIEMOS,44.93,1.17,2.25,32.49,2.51,16.65,6540,170,327,4729,366,2424,79.58,19687,15666,6.73,0.04,0.31,1054,7,49,BUENOS AIRES
BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel Rosales, Buenos Aires",ALIANZA CAMBIEMOS,51.31,1.34,2.29,20.58,2.8,21.69,18321,477,818,7347,1000,7745,77.51,47359,36706,2.11,0.01,0.59,775,5,218,BUENOS AIRES
BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",ALIANZA CAMBIEMOS,43.44,1.12,2.34,29.05,2.67,21.38,10654,274,575,7126,654,5243,81.94,31306,25653,3.65,0.05,0.69,936,13,178,BUENOS AIRES
BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",ALIANZA CAMBIEMOS,45.87,0.67,0.88,36.93,1.16,14.49,5436,79,104,4377,138,1717,86.7,14225,12333,3.44,0.02,0.45,424,2,56,BUENOS AIRES
BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",ALIANZA CAMBIEMOS,45.45,0.49,1.46,27.27,1.78,23.55,8067,87,259,4840,316,4181,82.02,22670,18593,3.89,0.09,0.56,723,16,104,BUENOS AIRES
BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.58,0.96,5.98,40.65,3.01,22.81,10359,376,2332,15845,1174,8893,80.17,50440,40439,3.0,0.05,0.56,1213,21,226,BUENOS AIRES
BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.16,1.29,4.04,37.36,2.7,23.45,39439,1633,5109,47294,3423,29687,80.25,162933,130750,2.64,0.08,0.47,3446,106,613,BUENOS AIRES
BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.77,1.01,4.14,42.14,2.38,21.57,47836,1683,6879,70068,3952,35865,77.54,221245,171544,2.23,0.08,0.76,3823,140,1298,BUENOS AIRES
BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",ALIANZA CAMBIEMOS,36.78,1.13,2.18,34.46,2.47,22.98,6660,204,395,6239,447,4161,79.31,23561,18687,2.43,0.06,0.61,455,12,114,BUENOS AIRES
BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,25.54,1.18,4.13,44.29,2.13,22.72,23116,1068,3739,40079,1932,20560,79.69,117465,93609,2.65,0.06,0.62,2483,56,576,BUENOS AIRES
BUENOS AIRES_FLORENTINO AMEGHINO,"F. Ameghino, Buenos Aires",ALIANZA CAMBIEMOS,44.66,0.7,1.25,41.3,1.12,10.96,2921,46,82,2701,73,717,88.06,7572,6668,1.51,0.03,0.37,101,2,25,BUENOS AIRES
BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,19.09,0.94,3.87,50.58,1.96,23.56,41257,2025,8359,109286,4233,50908,79.2,284202,225076,3.37,0.09,0.54,7585,201,1222,BUENOS AIRES
BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",ALIANZA CAMBIEMOS,33.8,0.87,2.59,29.94,3.2,29.59,8429,218,647,7467,798,7380,78.18,32862,25690,2.36,0.09,0.47,607,23,121,BUENOS AIRES
BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",ALIANZA CAMBIEMOS,49.6,0.48,0.96,34.4,0.56,14.0,3205,31,62,2223,36,905,86.12,7895,6799,4.85,0.0,0.1,330,0,7,BUENOS AIRES
BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",ALIANZA CAMBIEMOS,49.68,1.22,1.15,34.57,1.21,12.17,5907,145,137,4111,144,1447,85.51,14241,12177,1.91,0.04,0.39,233,5,48,BUENOS AIRES
BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",ALIANZA CAMBIEMOS,43.12,0.78,1.8,37.25,1.39,15.65,5448,98,228,4707,176,1978,84.48,15449,13051,2.93,0.04,0.21,383,5,28,BUENOS AIRES
BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",ALIANZA CAMBIEMOS,48.52,0.35,1.68,28.21,2.03,19.22,982,7,34,571,41,389,85.88,2457,2110,3.89,0.0,0.19,82,0,4,BUENOS AIRES
BUENOS AIRES_GENERAL LA MADRID,"General Lamadrid, Buenos Aires",ALIANZA CAMBIEMOS,43.6,0.6,1.57,38.94,1.31,13.99,3200,44,115,2858,96,1027,85.26,9049,7715,4.11,0.01,0.74,317,1,57,BUENOS AIRES
BUENOS AIRES_GENERAL LAVALLE,"General Lavalle, Buenos Aires",ALIANZA CAMBIEMOS,43.75,0.66,0.99,21.01,1.14,32.45,1193,18,27,573,31,885,82.7,3422,2830,3.18,0.07,0.39,90,2,11,BUENOS AIRES
BUENOS AIRES_GENERAL JUAN MADARIAGA,"General Madariaga, Buenos Aires",ALIANZA CAMBIEMOS,39.56,0.69,2.4,34.58,1.45,21.31,5043,88,306,4408,185,2717,80.68,16354,13194,2.88,0.02,0.49,380,3,64,BUENOS AIRES
BUENOS AIRES_GENERAL PAZ,"General Paz, Buenos Aires",ALIANZA CAMBIEMOS,40.23,0.64,1.3,39.99,1.55,16.3,3292,52,106,3272,127,1334,87.25,9625,8398,2.39,0.07,0.1,201,6,8,BUENOS AIRES
BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.7,1.03,2.82,36.88,2.42,21.15,2697,78,213,2786,183,1598,85.37,9187,7843,3.23,0.03,0.42,253,2,33,BUENOS AIRES
BUENOS AIRES_GENERAL PUEYRREDON,"General Pueyrredon, Buenos Aires",ALIANZA CAMBIEMOS,39.94,1.01,3.32,32.29,3.28,20.16,156044,3949,12953,126173,12812,78779,74.46,540300,402288,1.85,0.06,0.96,7446,260,3872,BUENOS AIRES
BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,30.87,1.16,2.67,38.34,2.13,24.83,15690,592,1356,19489,1083,12624,80.7,65875,53161,3.61,0.09,0.67,1919,50,358,BUENOS AIRES
BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.66,0.9,4.06,34.51,3.02,24.86,80459,2214,9993,85009,7432,61227,76.52,330387,252811,1.85,0.06,0.65,4671,159,1647,BUENOS AIRES
BUENOS AIRES_GENERAL VIAMONTE,"General Viamonte, Buenos Aires",ALIANZA CAMBIEMOS,39.27,1.59,1.35,34.57,1.69,21.53,4489,182,154,3951,193,2461,82.97,14230,11806,2.77,0.04,0.37,327,5,44,BUENOS AIRES
BUENOS AIRES_GENERAL VILLEGAS,"General Villegas, Buenos Aires",ALIANZA CAMBIEMOS,40.46,1.77,1.44,17.86,1.58,36.9,7619,333,271,3362,297,6947,82.62,23601,19498,3.01,0.02,0.41,586,4,79,BUENOS AIRES
BUENOS AIRES_ADOLFO GONZALES CHAVES,"Gonzales Chaves, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.27,0.83,1.82,42.55,2.37,20.17,2660,68,150,3507,195,1662,83.78,10420,8730,4.97,0.18,0.44,434,16,38,BUENOS AIRES
BUENOS AIRES_GUAMINI,"Guamini, Buenos Aires",ALIANZA CAMBIEMOS,42.27,0.6,1.07,41.0,1.48,13.57,3080,44,78,2988,108,989,84.91,8839,7505,2.81,0.01,0.08,211,1,6,BUENOS AIRES
BUENOS AIRES_HIPOLITO YRIGOYEN,"Hipolito Yrigoyen, Buenos Aires",ALIANZA CAMBIEMOS,43.77,0.84,1.3,37.62,1.09,15.39,2457,47,73,2112,61,864,81.7,7173,5860,3.82,0.09,0.29,224,5,17,BUENOS AIRES
BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.97,0.92,3.94,37.01,3.26,25.91,32982,1051,4482,42136,3710,29501,79.92,146145,116796,1.79,0.08,0.64,2096,93,745,BUENOS AIRES
BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.35,0.94,4.15,35.11,4.46,22.99,35586,1037,4561,38618,4905,25292,81.02,138879,112518,1.81,0.07,0.36,2034,75,410,BUENOS AIRES
BUENOS AIRES_JOSE C. PAZ,"J. C. Paz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,19.24,1.02,3.98,49.5,1.91,24.35,30110,1597,6222,77445,2984,38099,79.81,203933,162749,3.07,0.07,0.73,5002,110,1180,BUENOS AIRES
BUENOS AIRES_BENITO JUAREZ,"Juarez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.36,0.64,2.63,37.85,2.91,22.61,4346,83,342,4931,379,2946,82.03,16447,13491,2.74,0.01,0.69,369,2,93,BUENOS AIRES
BUENOS AIRES_JUNIN,"Junin, Buenos Aires",ALIANZA CAMBIEMOS,38.72,2.32,2.38,28.93,2.87,24.78,22999,1377,1415,17186,1702,14717,80.79,75964,61373,2.64,0.04,0.54,1618,27,332,BUENOS AIRES
BUENOS AIRES_LA COSTA,"La Costa, Buenos Aires",ALIANZA CAMBIEMOS,38.21,1.05,3.66,33.92,2.15,21.01,18203,502,1743,16160,1023,10011,75.05,65517,49173,2.1,0.25,0.76,1035,124,372,BUENOS AIRES
BUENOS AIRES_LA PLATA,"La Plata, Buenos Aires",ALIANZA CAMBIEMOS,41.11,0.91,5.75,29.89,4.64,17.7,163852,3616,22939,119144,18494,70553,77.18,531539,410229,2.14,0.14,0.55,8778,582,2271,BUENOS AIRES
BUENOS AIRES_LANUS,"Lanus, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.5,0.73,4.15,37.21,2.99,21.41,96588,2093,11979,107297,8634,61727,77.93,378409,294911,1.73,0.05,0.45,5116,146,1331,BUENOS AIRES
BUENOS AIRES_LAPRIDA,"Laprida, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,41.16,0.6,1.48,44.5,1.97,10.28,3026,44,109,3272,145,756,82.75,9156,7577,2.56,0.08,0.33,194,6,25,BUENOS AIRES
BUENOS AIRES_LAS FLORES,"Las Flores, Buenos Aires",ALIANZA CAMBIEMOS,40.31,0.93,2.29,33.67,4.35,18.46,6356,146,361,5309,686,2911,82.78,19906,16479,3.85,0.01,0.45,634,2,74,BUENOS AIRES
